"","year","artist","position","song","indicativerevenue","genre"
"1721",2017,"Post Malone & 21 Savage",21,"Rockstar",9475.441,"rap"
"1722",2017,"Zedd & Alessia Cara",22,"Stay",9431.932,"complextro"
"1723",2017,"The Weeknd & Daft Punk",23,"I Feel It Coming",9236.24,"r&b"
"1724",2017,"Julia Michaels",24,"Issues",9111.386,"pop"
"1725",2017,"Lil Uzi Vert",25,"XO TOUR Llif3",9068.86,"rap"
"1726",2017,"Camila Cabello & Young Thug",26,"Havana",9035.483,"pop"
"1727",2017,"Migos & Lil Uzi Vert",27,"Bad And Boujee",8868.423,"hip hop"
"1728",2017,"Sam Hunt",28,"Body Like A Back Road",8752.135,"country"
"1729",2017,"The Chainsmokers",29,"Paris",8438.387,"edm"
"1730",2017,"Liam Payne & Quavo",30,"Strip That Down",8417.625,"pop"
"1731",2017,"Jason Derulo, Nicki Minaj & Ty Dolla Sign",31,"Swalla",8374.146,"pop"
"1732",2017,"Portugal, The Man",32,"Feel It Still",8151.593,"pop"
"1733",2017,"Bruno Mars",33,"24K Magic",8140.169,"pop"
"1734",2017,"Logic, Alessia Cara & Khalid",34,"1-800-273-8255",8071.806,"hip hop"
"1735",2017,"Pink",35,"What About Us",7852.888,"rock"
"1736",2017,"Niall Horan",36,"Slow Hands",7714.775,"pop"
"1737",2017,"The Weeknd & Daft Punk",37,"Starboy",7611.885,"r&b"
"1738",2017,"Cardi B",38,"Bodak Yellow (Money Moves)",7415.568,"pop"
"1739",2017,"Calvin Harris, Pharrell Williams, Katy Perry & Big Sean",39,"Feels",7331.131,"pop"
"1740",2017,"Ed Sheeran",40,"Perfect",7102.654,"pop"
"1741",2017,"Dua Lipa",41,"New Rules",7054.002,"pop"
"1742",2017,"Katy Perry & Skip Marley",42,"Chained To The Rhythm",6970.828,"pop"
"1743",2017,"Childish Gambino",43,"Redbone",6950.697,"hip hop"
"1744",2017,"Khalid",44,"Location",6886.675,"r&b"
"1745",2017,"Ed Sheeran",45,"Galway Girl",6759.698,"pop"
"1746",2017,"Kyle & Lil Yachty",46,"I Spy",6629.576,"pop"
"1747",2017,"Demi Lovato",47,"Sorry Not Sorry",6619.549,"pop"
"1748",2017,"J Balvin & Willy William",48,"Mi gente",6376.547,"latin"
"1749",2017,"Taylor Swift",49,"Look What You Made Me Do",6348.045,"pop"
"1750",2017,"Sam Smith",50,"Too Good At Goodbyes",6315.494,"pop"
"1751",2017,"Rihanna",51,"Love On The Brain",6222.345,"pop"
"1752",2017,"Justin Timberlake",52,"Can't Stop The Feeling",6107.648,"pop"
"1753",2017,"Alessia Cara",53,"Scars To Your Beautiful",5997.005,"r&b"
"1754",2017,"Rag'n'Bone Man",54,"Human",5976.439,"soul"
"1755",2017,"Harry Styles",55,"Sign Of The Times",5921.006,"pop"
"1756",2017,"Calvin Harris, Frank Ocean & Migos",56,"Slide",5819.128,"pop"
"1757",2017,"Zayn & Sia",57,"Dusk Till Dawn",5813.124,"pop"
"1758",2017,"Starley",58,"Call On Me",5716.396,"aussietronica"
"1759",2017,"Drake",59,"Passionfruit",5619.333,"hip hop"
"1760",2017,"Maroon 5 & SZA",60,"What Lovers Do",5598.228,"pop"
"1761",2017,"Marshmello & Khalid",61,"Silence",5514.359,"brostep"
"1762",2017,"David Guetta & Justin Bieber",62,"2U",5495.619,"pop"
"1763",2017,"Jonas Blue & William Singe",63,"Mama",5306.223,"pop"
"1764",2017,"Maroon 5 & Kendrick Lamar",64,"I Don't Wanna Know",5271.65,"pop"
"1765",2017,"21 Savage",65,"Bank Account",5240.888,"hip hop"
"1766",2017,"Jax Jones & RAYE",66,"You Don't Know Me",5190.754,"pop"
"1767",2017,"Clean Bandit & Zara Larsson",67,"Symphony",5181.693,"pop"
"1768",2017,"Drake",68,"Fake Love",4984.502,"hip hop"
"1769",2017,"DJ Snake & Justin Bieber",69,"Let Me Love You",4894.234,"pop"
"1770",2017,"Rae Sremmurd & Gucci Mane",70,"Black Beatles",4884.141,"hip hop"
"1771",2017,"Miley Cyrus",71,"Malibu",4777.45,"pop"
"1772",2017,"Maroon 5 & Future",72,"Cold",4764.114,"pop"
"1773",2017,"Cheat Codes & Demi Lovato",73,"No Promises",4689.257,"pop"
"1774",2017,"Khalid",74,"Young Dumb & Broke",4659.451,"r&b"
"1775",2017,"Macklemore & Skylar Grey",75,"Glorious",4623.261,"pop"
"1776",2017,"Big Sean",76,"Bounce Back",4598.213,"hip hop"
"1777",2017,"Shawn Mendes",77,"Mercy",4501.963,"pop"
"1778",2017,"Burak Yeter & Danelle Sandoval",78,"Tuesday",4493.533,"electro house"
"1779",2017,"Martin Garrix & Dua Lipa",79,"Scared To Be Lonely",4369.641,"big room"
"1780",2017,"Axwell L Ingrosso",80,"More Than You Know",4347.092,"big room"
"1781",2017,"Robin Schulz & James Blunt",81,"Ok",4331.348,"pop"
"1782",2017,"Machine Gun Kelly & Camila Cabello",82,"Bad Things",4276.668,"pop"
"1783",2017,"Ke$ha",83,"Praying",4243.893,"pop"
"1784",2017,"Yo Gotti & Nicki Minaj",84,"Rake It Up",4129.092,"rap"
"1785",2017,"Migos",85,"T-Shirt",4052.181,"hip hop"
"1786",2017,"J Balvin & Willy William & Beyonce",86,"Mi gente",4019.529,"latin"
"1787",2017,"Kendrick Lamar",87,"Dna.",3955.847,"hip hop"
"1788",2017,"Brett Young",88,"In Case You Didn't Know",3916.171,"country"
"1789",2017,"Halsey",89,"Now Or Never",3891.49,"pop"
"1790",2017,"Kodak Black",90,"Tunnel Vision",3886.838,"rap"
"1791",2017,"Kendrick Lamar & Rihanna",91,"Loyalty.",3864.036,"hip hop"
"1792",2017,"Lil Pump",92,"Gucci Gang",3806.849,"rap"
"1793",2017,"Twenty One Pilots",93,"Heathens",3794.472,"rock"
"1794",2017,"Ariana Grande & Nicki Minaj",94,"Side To Side",3723.363,"pop"
"1795",2017,"Ayo & Teo",95,"Rolex",3719.577,"pop"
"1796",2017,"Rag'n'Bone Man",96,"Skin",3592.976,"soul"
"1797",2017,"Jon Bellion",97,"All Time Low",3580.365,"pop"
"1798",2017,"Rae Sremmurd",98,"Swang",3554.756,"hip hop"
"1799",2017,"Shakira & Maluma",99,"Chantaje",3525.023,"pop"
"1800",2017,"Justin Bieber & BloodPop",100,"Friends",3509.632,"pop"
"1801",2018,"Ed Sheeran",1,"Perfect",21052.644,"pop"
"1802",2018,"Drake",2,"God's Plan",18844.576,"hip hop"
"1803",2018,"Maroon 5 & Cardi B",3,"Girls Like You",15803.779,"pop"
"1804",2018,"Cardi B, Bad Bunny & J Balvin",4,"I Like It",14927.492,"pop"
"1805",2018,"Camila Cabello & Young Thug",5,"Havana",14018.223,"pop"
"1806",2018,"Bebe Rexha & Florida Georgia Line",6,"Meant To Be",13834.745,"pop"
"1807",2018,"Post Malone & Ty Dolla Sign",7,"Psycho",13403.202,"rap"
"1808",2018,"Post Malone",8,"Better Now",13201.633,"rap"
"1809",2018,"Zedd, Maren Morris & Grey",9,"The Middle",12957.236,"complextro"
"1810",2018,"Juice WRLD",10,"Lucid Dreams (Forget Me)",12075.729,"rap"
"1811",2018,"Calvin Harris & Dua Lipa",11,"One Kiss",12064.275,"pop"
"1812",2018,"Marshmello & Anne-Marie",12,"Friends",11869.124,"brostep"
"1813",2018,"Drake",13,"In My Feelings",11517.652,"hip hop"
"1814",2018,"Post Malone & 21 Savage",14,"Rockstar",11495.672,"rap"
"1815",2018,"Drake",15,"Nice For What",11216.233,"hip hop"
"1816",2018,"XXXTentacion",16,"Sad!",11170.231,"rap"
"1817",2018,"Khalid & Normani",17,"Love Lies",10777.391,"r&b"
"1818",2018,"Ariana Grande",18,"No Tears Left To Cry",10750.47,"pop"
"1819",2018,"5 Seconds of Summer",19,"Youngblood",9500.623,"boy band"
"1820",2018,"Camila Cabello",20,"Never Be The Same",9326.321,"pop"
"1821",2018,"Dua Lipa",21,"New Rules",8991.155,"pop"
"1822",2018,"Bruno Mars & Cardi B",22,"Finesse",8931.632,"pop"
"1823",2018,"Bazzi",23,"Mine",8533.813,"pop"
"1824",2018,"Travi$ Scott",24,"Sicko Mode",8414.934,"rap"
"1825",2018,"Tyga & Offset",25,"Taste",8093.451,"pop"
"1826",2018,"Clean Bandit & Demi Lovato",26,"Solo",8060.655,"pop"
"1827",2018,"Marshmello & Bastille",27,"Happier",8040.147,"brostep"
"1828",2018,"Benny Blanco, Halsey & Khalid",28,"Eastside",7903.873,"pop"
"1829",2018,"BlocBoy JB & Drake",29,"Look Alive",7698.79,"rap"
"1830",2018,"Ella Mai",30,"Boo'd Up",7666.903,"pop"
"1831",2018,"Portugal, The Man",31,"Feel It Still",7551.673,"pop"
"1832",2018,"Dynoro & Gigi D'Agostino",32,"In My Mind",7436.698,"edm"
"1833",2018,"Panic! At the Disco",33,"High Hopes",7375.376,"pop"
"1834",2018,"Ed Sheeran",34,"Shape Of You",7179.976,"pop"
"1835",2018,"Rudimental, Jess Glynne, Macklemore & Dan Caplen",35,"These Days",7119.086,"pop"
"1836",2018,"Eminem & Ed Sheeran",36,"River",6941.357,"hip hop"
"1837",2018,"Shawn Mendes",37,"In My Blood",6913.451,"pop"
"1838",2018,"Selena Gomez",38,"Back To You",6903.72,"pop"
"1839",2018,"Kendrick Lamar & SZA",39,"All The Stars",6891.376,"hip hop"
"1840",2018,"6ix9ine, Nicki Minaj & Murda Beatz",40,"Fefe",6832.572,"rap"
"1841",2018,"Taylor Swift",41,"Delicate",6729.511,"pop"
"1842",2018,"Imagine Dragons",42,"Whatever It Takes",6690.468,"rock"
"1843",2018,"Dennis Lloyd",43,"Nevermind",6674.452,"pop"
"1844",2018,"G-Eazy & Halsey",44,"Him & I",6622.851,"hip hop"
"1845",2018,"Luis Fonsi & Demi Lovato",45,"Echame la culpa",6516.099,"latin"
"1846",2018,"Dua Lipa",46,"IDGAF",6515.344,"pop"
"1847",2018,"NF",47,"Let You Down",6369.699,"hip hop"
"1848",2018,"Ariana Grande",48,"God Is A Woman",6342.614,"pop"
"1849",2018,"Calvin Harris & Sam Smith",49,"Promises",6311.177,"pop"
"1850",2018,"Nicky Jam & J Balvin",50,"X",6294.25,"latin"
"1851",2018,"Lil Baby & Drake",51,"Yes Indeed",6259.544,"hip hop"
"1852",2018,"Imagine Dragons",52,"Natural",6235.054,"rock"
"1853",2018,"Lil Dicky & Chris Brown",53,"Freaky Friday",6172.701,"rap"
"1854",2018,"The Weeknd & Kendrick Lamar",54,"Pray For Me",6146.992,"r&b"
"1855",2018,"Lauy",55,"I Like Me Better",6114.166,"pop"
"1856",2018,"Imagine Dragons",56,"Thunder",6065.931,"rock"
"1857",2018,"Justin Timberlake & Chris Stapleton",57,"Say Something",5937.821,"pop"
"1858",2018,"Dan & Shay",58,"Tequila",5723.139,"country"
"1859",2018,"Drake",59,"Nonstop",5604.18,"hip hop"
"1860",2018,"David Guetta & Sia",60,"Flames",5414.533,"pop"
"1861",2018,"DJ Snake, Selena Gomez, Ozuna & Cardi B",61,"Taki Taki",5371.125,"pop"
"1862",2018,"Lady Gaga & Bradley Cooper",62,"Shallow",5336.523,"pop"
"1863",2018,"Tom Walker",63,"Leave A Light On",5319.514,"indie anthem-folk"
"1864",2018,"Selena Gomez & Marshmello",64,"Wolves",5107.034,"pop"
"1865",2018,"Migos & Drake",65,"Walk It Talk It",5080.271,"hip hop"
"1866",2018,"Keala Settle & The Greatest Showman Ensemble",66,"This Is Me",4965.153,"broadway"
"1867",2018,"Halsey",67,"Without Me",4923.106,"pop"
"1868",2018,"DJ Khaled, Justin Bieber, Quavo, Chance The Rapper & Lil' Wayne",68,"No Brainer",4912.993,"pop"
"1869",2018,"Childish Gambino",69,"This Is America",4870.347,"hip hop"
"1870",2018,"Post Malone",70,"I Fall Apart",4813.244,"rap"
"1871",2018,"Loud Luxury & Brando",71,"Body",4767.899,"pop"
"1872",2018,"George Ezra",72,"Shotgun",4726.285,"pop"
"1873",2018,"Ariana Grande",73,"Thank U, Next",4658.983,"pop"
"1874",2018,"Kanye West & Lil Pump",74,"I Love It",4644.994,"rap"
"1875",2018,"Migos",75,"Stir Fry",4641.042,"hip hop"
"1876",2018,"Jonas Blue, Jack & Jack",76,"Rise",4541.547,"pop"
"1877",2018,"Offset & Metro Boomin",77,"Ric Flair Drip",4529.653,"hip hop"
"1878",2018,"XXXTentacion",78,"Moonlight",4525.317,"rap"
"1879",2018,"The Weeknd",79,"Call Out My Name",4445.748,"r&b"
"1880",2018,"Tiesto, Dzeko, Preme & Post Malone",80,"Jackie Chan",4432.89,"big room"
"1881",2018,"Luis Fonsi & Daddy Yankee",81,"Despacito",4361.876,"latin"
"1882",2018,"Kane Brown",82,"Heaven",4343.387,"country"
"1883",2018,"Ariana Grande",83,"Breathin",4338.21,"pop"
"1884",2018,"Halsey",84,"Bad At Love",4305.515,"pop"
"1885",2018,"Kodak Black, Travi$ Scott & Offset",85,"Zeze",4290.634,"rap"
"1886",2018,"Rich The Kid",86,"Plug Walk",4266.992,"hip hop"
"1887",2018,"Daddy Yankee",87,"Dura",4200.038,"latin"
"1888",2018,"Cardi B & 21 Savage",88,"Bartier Cardi",4143.45,"pop"
"1889",2018,"G-Eazy, ASAP Rocky & Cardi B",89,"No Limit",4104.74,"hip hop"
"1890",2018,"Charlie Puth",90,"How Long",4065.652,"pop"
"1891",2018,"Sheck Wes",91,"Mo Bamba",4014.96,"rap"
"1892",2018,"Liam Payne & Rita Ora",92,"For You (Fifty Shades Freed)",4007.562,"pop"
"1893",2018,"Ella Mai",93,"Trip",3987.493,"pop"
"1894",2018,"Cardi B",94,"Be Careful",3984.057,"pop"
"1895",2018,"Bazzi & Camila Cabello",95,"Beautiful",3961.665,"pop"
"1896",2018,"YG, 2 Chainz, Big Sean & Nicki Minaj",96,"Big Bank",3951.838,"rap"
"1897",2018,"Dean Lewis",97,"Be Alright",3936.7,"pop"
"1898",2018,"El Profesor",98,"Bella ciao (Hugel Remix)",3859.941,"house"
"1899",2018,"Migos, Nicki Minaj & Cardi B",99,"MotorSport",3841.38,"hip hop"
"1900",2018,"Lil Baby & Gunna",100,"Drip Too Hard",3831.644,"hip hop"
"1901",2019,"Lil Nas X & Billy Ray Cyrus",1,"Old Town Road",26543.376,"rap"
"1902",2019,"Billie Eilish",2,"Bad Guy",24514.739,"pop"
"1903",2019,"Lewis Capaldi",3,"Someone You Loved",21546.206,"pop"
"1904",2019,"Shawn Mendes & Camila Cabello",4,"Senorita",19664.291,"pop"
"1905",2019,"Post Malone & Swae Lee",5,"Sunflower (Spider-Man: Into The Spider-Verse)",19365.654,"rap"
"1906",2019,"Ed Sheeran & Justin Bieber",6,"I Don't Care",17478.82,"pop"
"1907",2019,"Post Malone",7,"Wow.",16835.78,"rap"
"1908",2019,"Jonas Brothers",8,"Sucker",16470.279,"boy band"
"1909",2019,"Ariana Grande",9,"7 Rings",16131.656,"pop"
"1910",2019,"Ava Max",10,"Sweet But Psycho",15970.698,"pop"
"1911",2019,"Halsey",11,"Without Me",15866.551,"pop"
"1912",2019,"Lady Gaga & Bradley Cooper",12,"Shallow",15499.142,"pop"
"1913",2019,"Lizzo",13,"Truth Hurts",15191.472,"escape room"
"1914",2019,"Khalid",14,"Talk",15085.581,"r&b"
"1915",2019,"Sam Smith & Normani",15,"Dancing With A Stranger",15057.399,"pop"
"1916",2019,"Panic! At the Disco",16,"High Hopes",12943.383,"pop"
"1917",2019,"Marshmello & Bastille",17,"Happier",12905.487,"brostep"
"1918",2019,"Chris Brown & Drake",18,"No Guidance",12766.522,"pop"
"1919",2019,"Post Malone",19,"Circles",12594.428,"rap"
"1920",2019,"Ed Sheeran & Khalid",20,"Beautiful People",12119.012,"pop"
"1921",2019,"Lil Tecca",21,"Ran$om",10652.158,"rap"
"1922",2019,"Lil Nas X",22,"Panini",10355.174,"rap"
"1923",2019,"Post Malone & Young Thug",23,"Goodbyes",9779.905,"rap"
"1924",2019,"Benny Blanco, Halsey & Khalid",24,"Eastside",9595.627,"pop"
"1925",2019,"Travi$ Scott",25,"Sicko Mode",9569.589,"rap"
"1926",2019,"Tones And I",26,"Dance Monkey",9340.22,"pop"
"1927",2019,"Maroon 5",27,"Memories",9107.469,"pop"
"1928",2019,"Meek Mill & Drake",28,"Going Bad",8953.484,"hip hop"
"1929",2019,"DaBaby",29,"Suge",8902.775,"hip hop"
"1930",2019,"Lizzo",30,"Good As Hell",8674.74,"escape room"
"1931",2019,"Ariana Grande",31,"Thank U, Next",8571.744,"pop"
"1932",2019,"Drake & Rick Ross",32,"Money In The Grave",8380.541,"hip hop"
"1933",2019,"Shawn Mendes",33,"If I Can't Have You",8246.26,"pop"
"1934",2019,"J Cole",34,"Middle Child",7816.649,"hip hop"
"1935",2019,"Khalid",35,"Better",7805.78,"r&b"
"1936",2019,"SHAED",36,"Trampoline",7769.275,"pop"
"1937",2019,"Sam Smith",37,"How Do You Sleep?",7662.024,"pop"
"1938",2019,"Taylor Swift",38,"You Need To Calm Down",7586.073,"pop"
"1939",2019,"Ariana Grande",39,"Break Up With Your Girlfriend, I'm",7358.826,"pop"
"1940",2019,"Maroon 5 & Cardi B",40,"Girls Like You",7216.088,"pop"
"1941",2019,"Travi$ Scott",41,"Highest In The Room",7148.549,"rap"
"1942",2019,"Selena Gomez",42,"Lose You To Love Me",7130.049,"pop"
"1943",2019,"Jonas Brothers",43,"Only Human",7112.819,"boy band"
"1944",2019,"A Boogie Wit Da Hoodie",44,"Look Back At It",6615.103,"rap"
"1945",2019,"Dan & Shay & Justin Bieber",45,"10,000 Hours",6436.281,"country"
"1946",2019,"Dean Lewis",46,"Be Alright",6245.293,"pop"
"1947",2019,"Calvin Harris & Rag'n'Bone Man",47,"Giant",6128.971,"pop"
"1948",2019,"Billie Eilish",48,"Bury A Friend",6099.669,"pop"
"1949",2019,"Taylor Swift",49,"Lover",5981.923,"pop"
"1950",2019,"Blanco Brown",50,"The Git Up",5745.884,"rap"
"1951",2019,"Marshmello & Kane Brown",51,"One Thing Right",5732.384,"brostep"
"1952",2019,"Bruno Mars & Cardi B",52,"Please Me",5664.635,"pop"
"1953",2019,"Polo G & Lil Tjay",53,"Pop Out",5638.382,"rap"
"1954",2019,"Meduza & Goodboys",54,"Piece Of Your Heart",5611.636,"edm"
"1955",2019,"Mariah Carey",55,"All I Want For Christmas Is You",5563.525,"pop"
"1956",2019,"Young Thug & Gunna",56,"Hot",5496.741,"hip hop"
"1957",2019,"Mustard & Roddy Ricch",57,"Ballin'",5446.961,"rap"
"1958",2019,"Taylor Swift & Brendon Urie",58,"Me!",5226.621,"pop"
"1959",2019,"21 Savage",59,"A Lot",5213.412,"hip hop"
"1960",2019,"Mark Ronson & Miley Cyrus",60,"Nothing Breaks Like A Heart",5195.58,"pop"
"1961",2019,"Blueface",61,"Thotiana",5185.206,"rap"
"1962",2019,"DJ Snake, Selena Gomez, Ozuna & Cardi B",62,"Taki Taki",5166.018,"pop"
"1963",2019,"Lil Baby & Gunna",63,"Drip Too Hard",5101.529,"hip hop"
"1964",2019,"Arizona Zervas",64,"Roxanne",5052.509,"pop"
"1965",2019,"blackbear",65,"Hot Girl Bummer",5044.346,"pop"
"1966",2019,"Kygo & Whitney Houston",66,"Higher Love",5036.061,"edm"
"1967",2019,"Lil Baby & DaBaby",67,"Baby",5029.429,"hip hop"
"1968",2019,"Daddy Yankee & Snow",68,"Con Calma",4994.502,"latin"
"1969",2019,"Young Thug, J Cole & Travi$ Scott",69,"The London",4973.45,"hip hop"
"1970",2019,"Mustard & Migos",70,"Pure Water",4950.402,"rap"
"1971",2019,"Juice WRLD & Youngboy Never Broke Again",71,"Bandit",4899.714,"rap"
"1972",2019,"Wale & Jeremih",72,"On Chill",4863.354,"hip hop"
"1973",2019,"Pink",73,"Walk Me Home",4862.236,"rock"
"1974",2019,"Y2K & bbno$",74,"Lalala",4861.357,"pop"
"1975",2019,"Post Malone",75,"Better Now",4772.439,"rap"
"1976",2019,"Morgan Wallen",76,"Whiskey Glasses",4763.296,"country"
"1977",2019,"Pinkfong",77,"Baby Shark",4687.331,"cartoon"
"1978",2019,"Billie Eilish",78,"When The Party's Over",4686.764,"pop"
"1979",2019,"Bad Bunny & Drake",79,"Mia",4682.622,"latin"
"1980",2019,"5 Seconds of Summer",80,"Youngblood",4651.696,"boy band"
"1981",2019,"Blake Shelton",81,"God's Country",4647.135,"country"
"1982",2019,"Kodak Black, Travi$ Scott & Offset",82,"Zeze",4637.254,"rap"
"1983",2019,"Dan & Shay",83,"Speechless",4615.604,"country"
"1984",2019,"Luke Combs",84,"Beautiful Crazy",4597.548,"country"
"1985",2019,"Old Dominion",85,"One Man Band",4480.286,"country"
"1986",2019,"Avicii & Aloe Blacc",86,"SOS",4415.494,"big room"
"1987",2019,"A Boogie Wit Da Hoodie & 6ix9ine",87,"Swervin",4411.108,"rap"
"1988",2019,"Calboy",88,"Envy Me",4388.221,"rap"
"1989",2019,"Ellie Goulding, Diplo & Swae Lee",89,"Close To Me",4339.099,"pop"
"1990",2019,"Summer Walker",90,"Playing Games",4301.067,"pop"
"1991",2019,"Halsey",91,"Graveyard",4285.723,"pop"
"1992",2019,"Luke Combs",92,"Even Though I'm Leaving",4262.741,"country"
"1993",2019,"Panic! At the Disco",93,"Hey Look Ma, I Made It",4234.785,"pop"
"1994",2019,"Juice WRLD",94,"Lucid Dreams (Forget Me)",4220.911,"rap"
"1995",2019,"Luke Combs",95,"Beer Never Broke My Heart",4179.948,"country"
"1996",2019,"YNW Melly",96,"Murder On My Mind",4176.509,"rap"
"1997",2019,"Cardi B",97,"Money",4149.92,"pop"
"1998",2019,"Lauren Daigle",98,"You Say",4136.107,"ccm"
"1999",2019,"Post Malone & Ozzy Osbourne & Travi$ Scott",99,"Take What You Want",4132.326,"rap"
"2000",2019,"DaBaby",100,"BOP",4126.519,"hip hop"
"2001",2020,"Roddy Ricch",1,"The Box",12497.84,"rap"
"2002",2020,"The Weeknd",2,"Blinding Lights",10555.111,"r&b"
"2003",2020,"Dua Lipa",3,"Don't Start Now",10112.081,"pop"
"2004",2020,"Post Malone",4,"Circles",9729.64,"rap"
"2005",2020,"Tones And I",5,"Dance Monkey",9429.187,"pop"
"2006",2020,"Arizona Zervas",6,"Roxanne",9379.621,"pop"
"2007",2020,"Maroon 5",7,"Memories",9174.541,"pop"
"2008",2020,"Lewis Capaldi",8,"Someone You Loved",8855.976,"pop"
"2009",2020,"Future & Drake",9,"Life Is Good",8544.032,"hip hop"
"2010",2020,"Billie Eilish",10,"everything i wanted",7840.608,"pop"
"2011",2020,"Harry Styles",11,"Adore You",6697.76,"pop"
"2012",2020,"Selena Gomez",12,"Lose You To Love Me",6410.008,"pop"
"2013",2020,"Trevor Daniel",13,"Falling",6320.521,"r&b"
"2014",2020,"blackbear",14,"Hot Girl Bummer",5940.532,"pop"
"2015",2020,"Dan & Shay & Justin Bieber",15,"10,000 Hours",5934.933,"country"
"2016",2020,"Justin Bieber",16,"Yummy",5891.175,"pop"
"2017",2020,"Lizzo",17,"Good As Hell",5866.21,"escape room"
"2018",2020,"Mustard & Roddy Ricch",18,"Ballin'",5725.939,"rap"
"2019",2020,"The Weeknd",19,"Heartless",5498.136,"r&b"
"2020",2020,"Billie Eilish",20,"Bad Guy",5494.585,"pop"
"2021",2020,"DaBaby",21,"BOP",5430.906,"hip hop"
"2022",2020,"Eminem & Juice WRLD",22,"Godzilla",4957.826,"hip hop"
"2023",2020,"Camila Cabello & DaBaby",23,"My Oh My",4917.368,"pop"
"2024",2020,"Shawn Mendes & Camila Cabello",24,"Senorita",4819.968,"pop"
"2025",2020,"Justin Bieber & Quavo",25,"Intentions",4678.818,"pop"
"2026",2020,"Halsey",26,"You Should Be Sad",4633.683,"pop"
"2027",2020,"Maren Morris",27,"The Bones",4582.153,"country"
"2028",2020,"Doja Cat",28,"Say So",4508.501,"la indie"
"2029",2020,"Lil Baby",29,"Woah",4443.118,"hip hop"
"2030",2020,"Chris Brown & Drake",30,"No Guidance",4241.809,"pop"
"2031",2020,"Travi$ Scott",31,"Highest In The Room",4208.652,"rap"
"2032",2020,"Roddy Ricch & Mustard",32,"High Fashion",4092.913,"rap"
"2033",2020,"Lewis Capaldi",33,"Before You Go",3856.373,"pop"
"2034",2020,"Jonas Brothers",34,"What A Man Gotta Do",3726.936,"boy band"
"2035",2020,"Karol G & Nicki Minaj",35,"Tusa",3472.52,"latin"
"2037",2020,"Kane Brown",37,"Homesick",3262.606,"country"
"2038",2020,"Ed Sheeran & Justin Bieber",38,"I Don't Care",3146.362,"pop"
"2039",2020,"SHAED",39,"Trampoline",3143.424,"pop"
"2040",2020,"Rod Wave",40,"Heart On Ice",2993.461,"rap"
"2041",2020,"Lil Baby",41,"Sum 2 Prove",2800.459,"hip hop"
"2042",2020,"Russ & BIA",42,"BEST ON EARTH",2788.405,"hip hop"
"2043",2020,"Gabby Barrett",43,"I Hope",2781.76,"country"
"2044",2020,"H.E.R. & YG",44,"Slide",2767.205,"pop"
"2045",2020,"Ed Sheeran & Camila Cabello & Cardi B",45,"South Of The Border",2751.437,"pop"
"2046",2020,"Doja Cat & Tyga",46,"Juicy",2731.055,"la indie"
"2047",2020,"Old Dominion",47,"One Man Band",2669.208,"country"
"2048",2020,"Sam Hunt",48,"Kinfolks",2527.251,"country"
"2049",2020,"Lil Uzi Vert",49,"Futsal Shuffle 2020",2493.171,"rap"
"2050",2020,"YNW Melly",50,"Suicidal",2489.648,"rap"
"2051",2020,"Bad Bunny",51,"Vete",2403.525,"latin"
"2052",2020,"Lil Nas X & Billy Ray Cyrus",52,"Old Town Road",2398.776,"rap"
"2053",2020,"Juice WRLD & Youngboy Never Broke Again",53,"Bandit",2374.137,"rap"
"2054",2020,"Regard",54,"Ride It",2351.834,"pop"
"2055",2020,"Lady GaGa",55,"Stupid Love",2335.549,"pop"
"2056",2020,"Luke Bryan",56,"What She Wants Tonight",2330.254,"country"
"2057",2020,"Lil Mosey",57,"Blueberry Faygo",2329.67,"rap"
"2059",2020,"Ingrid Andress",59,"More Hearts Than Mine",2198.171,"country"
"2060",2020,"Lizzo",60,"Truth Hurts",2186.208,"escape room"
"2061",2020,"Jonas Brothers",61,"Only Human",2181.153,"boy band"
"2062",2020,"Pop Smoke",62,"Dior",2124.074,"rap"
"2063",2020,"Don Toliver",63,"No Idea",2112.824,"rap"
"2064",2020,"Jason Aldean",64,"We Back",2047.176,"country"
"2065",2020,"Riley Green",65,"I Wish Grandpas Never Died",2026.539,"country"
"2066",2020,"Jordan Davis",66,"Slow Dance In A Parking Lot",2000.377,"country"
"2067",2020,"Young Thug & Gunna",67,"Hot",1959.74,"hip hop"
"2068",2020,"BrockHampton",68,"Sugar",1958.983,"boy band"
"2069",2020,"Carly Pearce & Lee Brice",69,"I Hope You're Happy Now",1931.491,"country"
"2070",2020,"Billie Eilish",70,"No Time To Die",1921.029,"pop"
"2071",2020,"JACKBOYS & Young Thug",71,"OUT WEST",1906.06,"rap"
"2072",2020,"Jhene Aiko",72,"P*$$y Fairy (OTW)",1883.961,"r&b"
"2073",2020,"The Weeknd",73,"After Hours",1882.308,"r&b"
"2074",2020,"Khalid & Disclosure",74,"Know Your Worth",1868.064,"r&b"
"2075",2020,"Meduza & Becky Hill & Goodboys",75,"Lose Control",1862.576,"edm"
"2076",2020,"Selena Gomez",76,"Rare",1835.011,"pop"
"2077",2020,"Jonas Brothers",77,"Sucker",1829.091,"boy band"
"2078",2020,"Jake Owen",78,"Homemade",1826.384,"country"
"2079",2020,"Sam Smith",79,"To Die For",1821.66,"pop"
"2080",2020,"Morgan Wallen",80,"Chasin' You",1783.924,"country"
"2081",2020,"Luke Combs",81,"Even Though I'm Leaving",1772.83,"country"
"2082",2020,"Dustin Lynch",82,"Ridin' Roads",1710.211,"country"
